number,id,title,question,img,Gold Standard,T5_BBOX,T5,Summary 1,Summary 2,Summary 3
116,4461,Satisfaction with National Conditi ons,Compare the national satisfaction of different nations?,dataset/images/4461.png,"More than seven - in - ten Chinese citizens ( 72 % ) express satisfaction with their national condition , while fewer than one - in - five ( 19 % ) are dissatisfied . On this score , China far outstrips India , where only 41 % say they are content with national conditions . And in China , the level of satisfaction is more than three times higher than in Russia , where only 23 % are pleased with their country ’s direction .","In China, 72 % express satisfaction with the way things are going in their country, compared with 69 % in Jordan and 57 % in Pakistan. In Spain, 51 % express satisfaction with the way things are going in their country. In the Netherlands, 49 % express satisfaction with the way things are going in their country. In the U.S., 58 % express satisfaction with the way things are going in their country.","More than seven - in - ten Chinese citizens ( 72 % ) express satisfaction with their national condition, while fewer than one - in - five ( 19 % ) are dissatisfied. China far outstrips India, where only 41 % say they are content with national conditions. And in China, the level of satisfaction is more than three times higher than in Russia, where only 23 % are pleased with their country ’s direction.",T5_BBOX,T5,Gold Standard
117,4423,U.S. Hispanic population reached nearly 61 million in 2019 In millions,Describe the population evolution of Latinos from 2010 to 2019?,dataset/images/4423.png,"The U.S. Hispanic population reached 60.6 million in 2019 , up from 50.7 million in 2010 .",The U.S. Hispanic population reached 61 million in 2019.,"The U.S. Hispanic population reached 60.6 million in 2019, up from 50.7 million in 2010. Hispanics made up 18 % of the U.S. population in 2019, up from 16 % in 2010 and just 5 % in 1970.",T5,Gold Standard,T5_BBOX
118,4484,"Broadband use at home has risen fairly consistently since the Pew Internet Project began to measure it in 2000, but growth rate has slowed somewhat in the general population.",Describe what has happened in the use of broadband internet since 2000?,dataset/images/4484.png,"Broadband use at home has risen fairly consistently since the Pew Internet Project began to measure it in 2000 , but growth rate has slowed somewhat in the general population .","Broadband use at home has risen fairly consistently since 2000, but the growth rate has slowed somewhat in the general population.","Broadband use at home has risen fairly consistently since the Pew Internet Project began to measure it in 2000, but growth rate has slowed somewhat in the general population.",T5,T5_BBOX,Gold Standard
119,3781,"Steps the govemment has inta ken since 9/11 have To prevent attacks like the one in Boston, there is.",What is the public opinion on the government's role in preventing terrorist attacks like the one in Boston?,dataset/images/3781.png,"49 % say there is more the government can do to prevent such attacks , but nearly as many ( 45 % ) say there is not much more that can be done .","About half of Americans ( 49 % ) say the government has not had much of an effect on preventing attacks like the one in Boston, while 45 % say the government has not had much of an effect.","The national survey by the Pew Research Center, conducted April 18 - 21 among 1,002 adults, finds that the public is evenly divided over whether there is more the government can do to prevent attacks like the one in Boston : 49 % say there is more the government can do to prevent such attacks, but nearly as many ( 45 % ) say there is not much more that can be done. The steps the government has taken since 9/11 are generally seen as having made the country safer. Six - in - ten ( 60 % ) say steps taken by the",T5_BBOX,Gold Standard,T5
120,3547,"Hispanic To Lack Health Immigrants Insurance More Likely than U.S-born To Lack Health Insurance Percent without health insurance in 2014 USS overall 14% Hispanics overall 25 U.S. born Hispanics 17 Foreign born Hispanics 39 Foreign- born Hispanics, U.S citizens 21 Foreign born Hispanics, non-citizen 49 Younger than 18 12 Younger than 18 34",What do Hispanics think about health insurance?,dataset/images/3547.png,"one - in - four ( 25 % ) Hispanics lack health insurance , the highest rate of any racial or ethnic group",Hispanics who are foreign - born are more likely than U.S.-born Hispanics to lack health insurance than U.S.-born Hispanics to lack health insurance.,"This year, one - in - four ( 25 % ) Hispanics lack health insurance, the highest rate of any racial or ethnic group, according to the Current Population Survey ’s March 2014 Annual Social and Economic Supplement. About 14 % of the general U.S. population is uninsured.",Gold Standard,T5,T5_BBOX
121,5795,What would a future with radical life extension look like? % of U.S adults who agree/ disagree with each statement Everybody should be able,What are Americans opinions regarding who should be able to receive radical life extension treatments?,dataset/images/5795.png,"Two - thirds of those polled about radical life extension thought the option would only be available to the wealthy At least as many in the human enhancement survey shared this concern , saying that moving forward with the three emerging technologies outlined in the survey – brain implants , synthetic blood and gene editing for babies – would increase inequality because they would only be available to those who are well - off .",About seven - in - ten U.S. adults ( 79 % ) agree that everyone should be able to get radical life extension treatments.,"Two - thirds of those polled about radical life extension thought the option would only be available to the wealthy. At least as many in the human enhancement survey shared this concern, saying that moving forward with the three emerging technologies outlined in the survey – brain implants, synthetic blood and gene editing for babies – would increase inequality because they would only be available to those who are well - off. Two - thirds of American adults also said scientists would offer life extension technologies before their impact was fully understood. Again, this wariness is matched and even exceeded in the human",T5_BBOX,T5,Gold Standard
122,5393,"Republicans stee too much regulation of financial industry, Democrats too little Which comes closer to your view? The government Has gone too far Has not gone far regulating financial enough regulating linstitutions",What is the opinion of north americans on the regulation of the financial industry?,dataset/images/5393.png,"Overall , about half of Americans ( 49 % ) say “ the government has not gone far enough in regulating financial institutions and markets , leaving the country at risk of another financial crisis , ” while 42 % say the government has gone too far , “ making it harder for the economy to grow .","About half of Americans ( 49 % ) say the government has gone too far in regulating the financial industry, while 42 % say the government has not gone far enough.","By roughly two - to - one, Republicans and Republican - leaning independents are more likely to say financial regulations have gone too far ( 63 % ) than to say they have not gone far enough ( 31 % ). The balance of opinion among Democrats and Democratic leaners is reversed : More than twice as many Democrats say the government has not gone far enough in this area ( 62 % ) as say it has gone too far ( 29 % ).",Gold Standard,T5_BBOX,T5
123,1645,Views of candidate quality much less positive for presidential elections than for local contests several elections has been,What government scale has the most favorable Americans' views?,dataset/images/1645.png,"Government and politics seen as working better locally than nationally . Far more Americans have a favorable opinion of their local government ( 67 % ) than of the federal government ( 35 % ) . In addition , there is substantial satisfaction with the quality of candidates running for Congress and local elections in recent elections . That stands in contrast with views of the recent presidential candidates ; just 41 % say the quality of presidential candidates in recent elections has been good",About eight - in - ten Americans ( 59 % ) say the quality of candidates running for local elections in their area has been very or somewhat good.,Far more Americans have a favorable opinion of their local government ( 67 % ) than of the federal government ( 35 % ).,Gold Standard,T5_BBOX,T5
124,1605,Wide partisan gap in views of impact of Russian efforts to influence election % who say Russian refforts to influence the 2016 election benefited campaign,What are the opinions about Russian influence on the 2016 elections?,dataset/images/1605.png,Roughly equal shares say that Russian efforts likely benefited Trump ’s campaign ( 43 % ) or neither of the campaigns ( 48 % ) – with sharp divisions by party . Just 4 % say Russian efforts benefited Hillary Clinton ’s campaign,"Among Republicans and Republican - leaning independents, 79 % say Russian efforts to influence the 2016 election have benefited the campaign, compared with just 7 % of Democrats and Democratic leaners. Among Democrats and Democratic leaners, 74 % say Russian efforts to influence the election have benefited the campaign, compared with 82 % of Republicans and Democratic leaners.",Roughly equal shares say that Russian efforts likely benefited Trump ’s campaign ( 43 % ) or neither of the campaigns ( 48 % ) – with sharp divisions by party. Just 4 % say Russian efforts benefited Hillary Clinton ’s campaign.,T5,T5_BBOX,Gold Standard
125,5118,"Since 2015, Republicans' views of the impact of colleges have turned much more negative % who say colleges and universities have a effect on the way things are going in the country",Compare partisans opinions about the effect of colleges in the country.,dataset/images/5118.png,"In 2017 , just 36 % of Republicans and Republican leaners said colleges and universities have a positive effect on the way things are going in the country , an 18 - percentage - point decline from two years prior . By contrast , 72 % of Democrats and Democratic leaners said colleges and universities have a positive effect , which was little changed from prior years .","Currently, 65 % of Republicans and Republican - leaning independents say colleges and universities have a positive effect on the country, compared with 17 % of Democrats and Democratic leaners.","In 2017, just 36 % of Republicans and Republican leaners said colleges and universities have a positive effect on the way things are going in the country, an 18 - percentage - point decline from two years prior. By contrast, 72 % of Democrats and Democratic leaners said colleges and universities have a positive effect, which was little changed from prior years.",Gold Standard,T5_BBOX,T5
126,3748,"Most teachers give students modest ratings of good' or 'fair' when it comes to specific research skills Overall, how would you rate your students on each of the following?",What is the situation on the marks students receive for their patience in determination in looking for information that is hard to find?,dataset/images/3748.png,"Students receive the lowest marks for “ patience and determination in looking for information that is hard to find , ” with 43 % of teachers rating their students “ poor ” in this regard , and another 35 % rating their students “ fair . ”",About four - in - ten ( 43 % ) teachers rate their students for their patience and determination in looking for information that is hard to find.,"Students receive the lowest marks for “ patience and determination in looking for information that is hard to find, ” with 43 % of teachers rating their students “ poor ” in this regard, and another 35 % rating their students “ fair. ”",T5,T5_BBOX,Gold Standard
127,0,Information Gathering,Compare the proportion of dial-up users and broadband users who get their news on the internet.,dataset/images/0.png,Two in five ( 41 % ) of broadband users get news on the Internet on a typical day compared with 35 % of experienced dial - up users .,About half of dial - up users ( 50 % ) and broadband users ( 15 % ) get their news on the internet.,Two in five ( 41 % ) of broadband users get news on the Internet on a typical day compared with 35 % of experienced dial - up users who want broadband.,T5_BBOX,T5,Gold Standard
128,7336,No Improvement in Public Perceptions of Economic News,What opinions are people hearing about the economy?,dataset/images/7336.png,"Currently , 55%say they are hearing a mix of good and bad news about t he economy , while 38 % say the economic news they are hearing is mostly bad and just 4 % say they are hearing mostly good news about the economy .",About half of Americans ( 5455 % ) say they are hearing a mix of good and bad news about the economy.,"Currently, 55%say they are hearing a mix of good and bad news about t he economy, while 38 % say the economic news they are hearing is mostly bad and just 4 % say they are hearing mostly good news about the economy.",Gold Standard,T5,T5_BBOX
129,2671,"Older Republicans are particularly likely to say fathers shouldn't be alle to take paternity leave % able saying fathers should paid NOT unpaid, be able to take leave, paid adoption or unpaid, following birth or paid adoption unpaid, of child Ages 18-29 30-49 50-64 65+",What are differences in partisan views among different age groups when it comes to thinking men have no responsibility for their kids?,dataset/images/2671.png,"Older Republicans offer considerably different views than their younger counterparts . Four - in - ten Republicans ages 65 or older say fathers should n’t be able to take leave from work following the birth or adoption of a child , compared with 20 % of Republicans ages 50 to 64 , 10 % of those 30 to 49 , and 14 % of those 18 to 29 . Age differences are relatively small among Democrats .",Republicans and Republican leaners are more likely than Democrats and Democratic leaners to say fathers should not be able to take paternity leave following the birth or adoption of a child ( 14 % vs. 10 % ). Republicans and Republican leaners are more likely than Democrats and Democratic leaners to say fathers should not be able to take paternity leave following the birth or adoption of a child ( 11 % vs. 10 % ).,"Older Republicans offer considerably different views than their younger counterparts. Four - in - ten Republicans ages 65 or older say fathers should n’t be able to take leave from work following the birth or adoption of a child, compared with 20 % of Republicans ages 50 to 64, 10 % of those 30 to 49, and 14 % of those 18 to 29. Age differences are relatively small among Democrats.",Gold Standard,T5_BBOX,T5
130,5118,"Since 2015, Republicans' views of the impact of colleges have turned much more negative % who say colleges and universities have a effect on the way things are going in the country",Compare partisans opinions about the effect of colleges in the country.,dataset/images/5118.png,"In 2017 , just 36 % of Republicans and Republican leaners said colleges and universities have a positive effect on the way things are going in the country , an 18 - percentage - point decline from two years prior . By contrast , 72 % of Democrats and Democratic leaners said colleges and universities have a positive effect , which was little changed from prior years .","Currently, 65 % of Republicans and Republican - leaning independents say colleges and universities have a positive effect on the country, compared with 17 % of Democrats and Democratic leaners.","In 2017, just 36 % of Republicans and Republican leaners said colleges and universities have a positive effect on the way things are going in the country, an 18 - percentage - point decline from two years prior. By contrast, 72 % of Democrats and Democratic leaners said colleges and universities have a positive effect, which was little changed from prior years.",T5,T5_BBOX,Gold Standard
131,3393,"Estimated the ofU.S., China and the 2010 and 2050",How is India's population growth projection?,dataset/images/3393.png,India ’s population is expected to increase by 400 million by 2050 . Its projected population of 1.6 billion will be almost equal to the populations of the U.S. and China combined,India ’s population is projected to grow from 1.62 billion in 2010 to 1.21 billion by 2050.,India ’s population is expected to increase by 400 million by 2050. Its projected population of 1.6 billion will be almost equal to the populations of the U.S. and China combined. China is projected to add only 25 million residents.,T5,T5_BBOX,Gold Standard
132,5696,Support for same-sex marriage holds Support steady starter 2015 Supreme Court ruling % who allowing gays and lesbians to marry legally,What is the trend among Americans about supporting same-sex marriages since 2006 ?,dataset/images/5696.png,"Now , just over half of Americans ( 55 % ) say they favor allowing gays and lesbians to marry legally , while 37 % remain opposed , according to Pew Research Center ’s March poll . A decade ago , the balance of opinion was reversed : 55 % were opposed , while 35 % were in favor .","Currently, 57 % of Americans favor allowing gays and lesbians to marry legally, while 39 % oppose allowing gays and lesbians to marry legally.","Now, just over half of Americans ( 55 % ) say they favor allowing gays and lesbians to marry legally, while 37 % remain opposed, according to Pew Research Center ’s March poll. A decade ago, the balance of opinion was reversed : 55 % were opposed, while 35 % were in favor.",Gold Standard,T5,T5_BBOX
133,3096,More Approve of U.S. Campaign Against Islamic Militants in Iraq and Syria…And Public Is Now Divided Over Possible Use of Ground Troops,How public supports U.S. fight against ISIS ?,dataset/images/3096.png,"The public has grown more supportive of the U.S. fight against ISIS , as about twice as many approve ( 63 % ) as disapprove ( 30 % ) of the military campaign against the Islamic militant group in Iraq and Syria . Last October , 57 % approved and 33 % disapproved","Currently, 57 % approve of the U.S. fight against Islamic militants in Iraq and Syria, while 33 % disapprove.","The public has grown more supportive of the U.S. fight against ISIS, as about twice as many approve ( 63 % ) as disapprove ( 30 % ) of the military campaign against the Islamic militant group in Iraq and Syria. Last October, 57 % approved and 33 % disapproved. The possibility of sending U.S. ground troops to the region is more divisive, although the idea draws more support than it did four months ago. Currently, about as many favor ( 47 % ) as oppose ( 49",T5_BBOX,Gold Standard,T5
134,1006,Smartphone owners' preferred way of accessing the internet varies substantially by age,Describe the growth of people who mostly use the internet on a smartphone?,dataset/images/1006.png,"Some 46 % of smartphone owners say when using the internet , they mostly do so on their phone .","Currently, 46 % of smartphone owners say they mostly go online using a desktop, laptop or tablet computer, compared with 28 % of those ages 18 to 29.","For those who own a smartphone, these devices now outpace more traditional means of accessing the web. Some 46 % of smartphone owners say when using the internet, they mostly do so on their phone. This represents a double - digit increase from 2013, when 34 % of these users said this. At the same time, the share of smartphone users who say a desktop, laptop or tablet computer is their primary device for going online has fallen from 53 % in 2013 to 30 % today. Roughly one - quarter of smartphone users",T5_BBOX,T5,Gold Standard
135,705,Half of Americans think made-up news and information is a critical problem for the country,What opinion do American adults have about the invented news and information in the country?,dataset/images/705.png,", 50 % of U.S. adults said made - up news and information was a very big problem in the country today",Half of Americans ( 50 % ) say that made - up news and information is a very big problem for the country today.,"In an early 2019 survey, 50 % of U.S. adults said made - up news and information was a very big problem in the country today – a larger share than said the same about issues including racism, illegal immigration, terrorism and sexism. Around half or more also said made - up news has a big impact on political leaders ’ ability to get work done ( 51 % ), Americans ’ confidence in each other ( 54 % ) and their confidence in the government ( 68 % ).",T5,T5_BBOX,Gold Standard
136,6435,"Views of Jobs Improving, but Most Still Say ‘Difficult to Find’",Describe the opinions on the availability of job opportunities in the local area.,dataset/images/6435.png,"57 % say that jobs are difficult to find in their community , while 36 % say that there are plenty of jobs available .","About six - in - ten ( 66 % ) say plenty of jobs are available in their area, while 36 % say they are difficult to find.","When it comes to job opportunities, 57 % say that jobs are difficult to find in their community, while 36 % say that there are plenty of jobs available, according to our recent survey.",T5_BBOX,Gold Standard,T5
137,941,Overall views of tax law little changed; fewer Republicans ‘strongly approve’,How do Republicans see tax law?,dataset/images/941.png,"About seven - in - ten Republicans ( 71 % ) approve of the tax law , including 43 % who strongly approve . Early last year , about the same share of Republicans approved of the tax law ( 75 % ) , but a majority ( 57 % ) strongly approved","Currently, 43 % of Republicans and Republican leaners approve of the tax law passed by Donald Trump and Congress in 2017, down from 71 % in January 2018.","About seven - in - ten Republicans ( 71 % ) approve of the tax law, including 43 % who strongly approve. Early last year, about the same share of Republicans approved of the tax law ( 75 % ), but a majority ( 57 % ) strongly approved.",T5_BBOX,T5,Gold Standard
138,7445,"Variahility in Horse Race Po Ils,",How does the 2004 horse pool compare to 1984 and 1988?,dataset/images/7445.png,"The polling variability in 2004 falls close to that seen in 1984 and 1988 , when the average spread was 2.2 % and 2.3 % , respectively .","The 2004 horse pool is the largest in the nation ’s history. Currently, 25 % of the public has a positive view of the 2004 horse pool, compared with 25 % in 1984 and 28 % in 1988.","The polling variability in 2004 falls close to that seen in 1984 and 1988, when the average spread was 2.2 % and 2.3 %, respectively, and slightly above the election of 2000 ( at 1.7 % ).",Gold Standard,T5,T5_BBOX
139,1908,"In most countries, young and old agree about democracy % who say democracy is preferable to any fother kind of government",How has the German reunification been affected?,dataset/images/1908.png,The generation of Central and Eastern Europeans who came of age after the fall of the Berlin Wall and collapse of the Soviet Union differs little in its political outlook from earlier generations weaned on communist ideology and anti - Western propaganda .,"The German reunification has been a major factor in the German reunification of Germany. About half ( 50 % ) of those ages 18 to 39 say democracy is preferable to any other kind of government, compared with only about half ( 50 % ) of those 40 and older.","The generation of Central and Eastern Europeans who came of age after the fall of the Berlin Wall and collapse of the Soviet Union differs little in its political outlook from earlier generations weaned on communist ideology and anti - Western propaganda. Today, support for democracy is relatively tepid among both age groups. Majorities in most countries across the region are upbeat about free markets, with similar levels of support among young and old, according to a new Pew Research Center survey of adults in 18 Central and Eastern European countries.",T5_BBOX,Gold Standard,T5
140,5394,Broad public agreement on importance of many aspects of a strong democracy % who say each is strong democracy in the United States Congress and the courts,What does the public think about the importance of news freedom to criticize politicians?,dataset/images/5394.png,A smaller majority ( 64 % ) says the freedom of news organizations to criticize political leaders is essential to maintain a strong democracy in the U.S.,About six - in - ten Americans ( 64 % ) say news organizations political are free to criticize political leaders.,A smaller majority ( 64 % ) says the freedom of news organizations to criticize political leaders is essential to maintain a strong democracy in the U.S.,T5,Gold Standard,T5_BBOX
141,6011,Russian Views of China and the U.S. Russians with afavorable view of,How have Russians' views of China and the U.S. changed?,dataset/images/6011.png,"China is gaining popularity in Russia as attitudes toward the U.S. turn sharply negative . In just the past two years , favorable views of China have jumped 17 percentage points among Russians , from 62 % in 2013 to an all - time high of 79 % today . Meanwhile , favorable views of the U.S. have taken a nosedive , falling from 51 % in 2013 , to 23 % in 2014 , to an all - time low of 15 % today .","Currently, 71 % of Russians have a favorable view of China, while 61 % have a favorable view of the U.S.","In just the past two years, favorable views of China have jumped 17 percentage points among Russians, from 62 % in 2013 to an all - time high of 79 % today. Meanwhile, favorable views of the U.S. have taken a nosedive, falling from 51 % in 2013, to 23 % in 2014, to an all - time low of 15 % today.",T5,T5_BBOX,Gold Standard
142,4051,"Figure 2 Employment Rate, Fourth Quarters, 2007 and 2008","What changes occurred to born Hispanics , native - born Hispanics and blacks in unemployment during 2007 and 2008?",dataset/images/4051.png,"Changes in unemployment during the recession reveal a rapidly worsening situation for foreign - born Hispanics , native - born Hispanics and blacks in the labor market . The unemployment rates for these groups increased by similar amounts from the fourth quarter of 2007 to the fourth quarter of 2008 .","Born Hispanics, native - born Hispanics and blacks saw sharp increases in unemployment during the fourth quarter of 2007 and 2008.","Changes in unemployment during the recession reveal a rapidly worsening situation for foreign - born Hispanics, native - born Hispanics and blacks in the labor market. The unemployment rates for these groups increased by similar amounts from the fourth quarter of 2007 to the fourth quarter of 2008. However, the number of unemployed persons increased at a much faster rate for foreign - born Hispanics.",T5_BBOX,Gold Standard,T5
143,1847,"Democrats lead on several issues; public is divided on which party can better handle economy, deficit Which party could do a betterjob dealing with (%)?",What are the current views on which party can better deal with taxes?,dataset/images/1847.png,"Currently , 43 % say the Democrats can better deal with taxes , while 36 % prefer the Republican Party","About four - in - ten ( 41 % ) say the Democratic Party can better deal with the economy, while 38 % say the Republican Party can better deal with the budget deficit.","Currently, 43 % say the Democrats can better deal with taxes, while 36 % prefer the Republican Party.",Gold Standard,T5,T5_BBOX
144,6959,News Interest vs. News Coverage News Interest,What does the public think about the importance of news about the US economy and Occupy Wall Street?,dataset/images/6959.png,"About a quarter ( 27 % ) say news about the condition of the U.S. economy was their top story , while just 7 % cite the Occupy Wall Street protests as their top story .","About three - in - ten ( 27 % ) say they followed news about the U.S. economy more closely than any other story last week, according to the latest News Interest Index survey conducted Oct. 6 - 9 by the Pew Research Center. About one - in - ten ( 14 % ) say they followed news about Jobs more closely than any other story last week.","About a quarter ( 27 % ) say news about the condition of the U.S. economy was their top story, while just 7 % cite the Occupy Wall Street protests as their top story.",T5,Gold Standard,T5_BBOX
145,1645,Views of candidate quality much less positive for presidential elections than for local contests several elections has been,What government scale has the most favorable Americans' views?,dataset/images/1645.png,"Government and politics seen as working better locally than nationally . Far more Americans have a favorable opinion of their local government ( 67 % ) than of the federal government ( 35 % ) . In addition , there is substantial satisfaction with the quality of candidates running for Congress and local elections in recent elections . That stands in contrast with views of the recent presidential candidates ; just 41 % say the quality of presidential candidates in recent elections has been good",About eight - in - ten Americans ( 59 % ) say the quality of candidates running for local elections in their area has been very or somewhat good.,Far more Americans have a favorable opinion of their local government ( 67 % ) than of the federal government ( 35 % ).,T5_BBOX,T5,Gold Standard
146,1092,Party and education play significant role in views of U.S.-China economic ties.,Describe the proportion of Americans who think economic relations between the US and China are bad?,dataset/images/1092.png,"Today , just over half of Americans ( 53 % ) believe current economic ties between the U.S. and China are bad","About half of Americans ( 53 % ) say current economic ties between the U.S. and China are bad, compared with 41 % who say they are good.","Today, just over half of Americans ( 53 % ) believe current economic ties between the U.S. and China are bad. Fewer ( 41 % ) think economic relations between the two nations are good, with just 2 % of American adults saying ties are very good.",Gold Standard,T5_BBOX,T5
147,2820,Democrats on a possible Trump presidency: Most say he would be 'terrible' % of Democratic and president Democratic -leaning registered voters who say each,What are opinions about seven GOP candidates?,dataset/images/2820.png,Fully 64 % of Democratic and Democratic - leaning registered voters say Trump would make a terrible president . That is by far the highest percentage among the seven GOP candidates in the survey .,"About seven - in - ten Republican voters ( 64 % ) say Trump would make a good president, while just 18 % say he would make a poor president.",Fully 64 % of Democratic and Democratic - leaning registered voters say Trump would make a terrible president. That is by far the highest percentage among the seven GOP candidates in the survey.,T5,Gold Standard,T5_BBOX
148,5930,Democrats now about as likely to sympathize with Palestinians as Israel side do you sympathize with more? (%) Democrats,Tell some information about Democrats now about as likely to sympathize with Palestinians as Israel side do you sympathize with more?,dataset/images/5930.png,"For the first time in Pew Research Center surveys , Democrats are about as likely to say they sympathize more with the Palestinians ( 31 % ) than with Israel ( 33 % ) ; 11 % say they sympathize with neither , while 8 % sympathize with both and 17 % do not offer an opinion . The share of Democrats who say they sympathize more with Israel is down 10 points from April 2016 . The share who say they sympathize more with the Palestinians is little changed from last April ( 29 % ) , but is up significantly from July 2014 when just 17 % said they sympathized more with the Palestinians . By contrast , Republicans continue to overwhelmingly say they sympathize more with Israel ( 74 % ) than the Palestinians ( 11 % ) . There has been little movement in views among Republicans in recent years , but the share who say they sympathize more with Israel is now higher than in the mid-2000s and prior . For example , in 2005 , 57 % of Republicans said they sympathized more with Israel in their dispute with the Palestinians . As a result of these trends , there is now a 41 - point gap between the shares of Republicans ( 74 % ) and Democrats ( 33 % ) who say they sympathize more with Israel .",Democrats are now about as likely to sympathize with the Palestinians as they are to sympathize with Israel ( 33 % vs. 38 % ).,"For the first time in Pew Research Center surveys, Democrats are about as likely to say they sympathize more with the Palestinians ( 31 % ) than with Israel ( 33 % ) ; 11 % say they sympathize with neither, while 8 % sympathize with both and 17 % do not offer an opinion.",T5,T5_BBOX,Gold Standard
149,5311,"Since 2001, decline in the share saying legal immigration should be decreased % should who say be that legal immigration into the United States",What is the percentage of Americans who favor increased legal immigration to the U.S. versus those who favor a decrease?,dataset/images/5311.png,"Since 2001 , the share of Americans who favor increased legal immigration into the U.S. has risen 22 percentage points ( from 10 % to 32 % ) , while the share who support a decrease has declined 29 points ( from 53 % to 24 % ) .","About half of Americans ( 53 % ) say that legal immigration into the U.S. should be increased, compared with 29 % who say it should be kept at its present level.","Since 2001, the share of Americans who favor increased legal immigration into the U.S. has risen 22 percentage points ( from 10 % to 32 % ), while the share who support a decrease has declined 29 points ( from 53 % to 24 % ).",Gold Standard,T5_BBOX,T5
