number,id,title,question,img,Gold Standard,VLT5_S,VLT5,Summary 1,Summary 2,Summary 3
745,1201,Majority of Americans say higher education is going in wrong direction,What do the majority of Americans say about higher education?,dataset/images/1201.png,"About six - in - ten Americans ( 61 % ) say the higher education system in the United States is going in the wrong direction , according to a new Pew Research Center survey .",About six - in - ten Americans ( 61 % ) say the higher education system in the United States is going in the wrong direction,A majority of Americans ( 61 % ) say the higher education system in the U.S. is going in the wrong direction,VLT5,Gold Standard,VLT5_S
746,3748,"Most teachers give students modest ratings of good' or 'fair' when it comes to specific research skills Overall, how would you rate your students on each of the following?",What is the situation on the marks students receive for their patience in determination in looking for information that is hard to find?,dataset/images/3748.png,"Students receive the lowest marks for “ patience and determination in looking for information that is hard to find , ” with 43 % of teachers rating their students “ poor ” in this regard , and another 35 % rating their students “ fair . ”","Students receive the lowest marks for “ patience and determination in looking for information that is hard to find, ” with 43 % of teachers rating their students “ poor ” in this regard, and another 35 % rating their students “ fair. ”","Among teachers, students are most likely to give students high marks for their patience and determination in looking for information that is hard to find online, and are more likely to recognize bias and bias in the creation of content.",VLT5_S,VLT5,Gold Standard
747,1956,"Within couples, women's earnings have increased steadily stover the decades relative to their husbands' % of couples where the Woman earns more Net 13%",How are women now earning comparing to their partners?,dataset/images/1956.png,"Today , 31 % of women who are married or cohabiting are contributing at least half of the couple ’s total earnings ( including 28 % who earn more than their husband or partner and 3 % who earn about the same amount ) .","In 1980, only 13 % of married women earned more than or about as much as their husbands. By 2000, the share had risen to 25 %. Today, 31 % of women who are married or cohabiting are contributing at least half of the couple ’s total earnings ( including 28 % who earn more than their husband or partner and 3 % who earn about the same amount ). In 69 % of married or cohabiting couples, the man earns more than the woman, though this is down from 87 % of married couples in 1980.","In 2017, for example, the share of women earning more than their husbands grew from 25 % to 43 %, and among those who marrying couples where the two men were still living, earnings continued to rise progressively over time. Among cohabiting couples, women ’s annual earnings have been steadily higher than their husbands, from 3 % to 31 %.",VLT5,VLT5_S,Gold Standard
748,6910,News Interest vs. News Coverage News Interest Economy,How much people were concerned about the news of troops in Afghanistan?,dataset/images/6910.png,"Americans focused most closely last week on news about the nation ’s struggling economy and President Obama ’s plans to draw down U.S. troops in Afghanistan . 16 % say they followed the discussions in Washington about troop levels in Afghanistan more closely than any other top story , according to the latest weekly News Interest Index survey conducted June 23 - 26 by the Pew Research Center .","Americans focused most closely last week on news about the nation ’s struggling economy and President Obama ’s plans to draw down U.S. troops in Afghanistan Two - in - ten ( 20 % ) say the economy was their top story, while 16 % say they followed the discussions in Washington about troop levels in Afghanistan more closely than any other top story, according to the latest weekly News Interest Index survey conducted June 23 - 26 by the Pew Research Center.","Just 14 % say they followed news about the troops in Afghanistan very closely, and 16 % say they followed news about the troops most closely.",VLT5_S,VLT5,Gold Standard
749,3096,More Approve of U.S. Campaign Against Islamic Militants in Iraq and Syria…And Public Is Now Divided Over Possible Use of Ground Troops,How public supports U.S. fight against ISIS ?,dataset/images/3096.png,"The public has grown more supportive of the U.S. fight against ISIS , as about twice as many approve ( 63 % ) as disapprove ( 30 % ) of the military campaign against the Islamic militant group in Iraq and Syria . Last October , 57 % approved and 33 % disapproved","The public has grown more supportive of the U.S. fight against ISIS, as about twice as many approve ( 63 % ) as disapprove ( 30 % ) of the military campaign against the Islamic militant group in Iraq and Syria. Last October, 57 % approved and 33 % disapproved","The new national survey finds that 63 % approve of the U.S. campaign against Islamic militants in Iraq and Syria, while just 30 % disapprove. Support is also up 13 points since February 2014 ( from 57 % to 33 % ).",VLT5_S,VLT5,Gold Standard
750,3928,How Audiences Rate Press Coverage Week of February 19,What is people's opinion on the press when it comes to coverage of Iraq?,dataset/images/3928.png,"The press receives lower ratings for its coverage of Iraq from those who were following that story closely – 13 % rate the coverage excellent , 37 % say it ’s been good .","The press receives lower ratings for its coverage of Iraq from those who were following that story closely – 13 % rate the coverage excellent, 37 % say it ’s been good. Reports about sub - par conditions at Walter Reed Army Medical Center receive similar ratings from those following the story closely – 10 % excellent, 39 % good. The public also gives the press higher grades for its Smith coverage than for its reporting on the 2008 presidential campaign and on the mounting tensions between Iran and the U.S. Roughly half of those following each story give the press excellent or good ratings for its coverage",37 % of those following news about Iraq very closely and 17 % said it was the story they followed most closely.,VLT5_S,VLT5,Gold Standard
751,902,Majority of college educated women say women should have children before entering politics to be successful,"According to the view of the mothers who have children under 18, describe their opinion on women having children while entering politics?",dataset/images/902.png,"Mothers of children younger than 18 are more likely than other women to say a woman who aspires to high political office should wait until she ’s established in her political career before having children . About one - third ( 36 % ) of mothers say a woman who wants to reach this type of position is better off waiting to have children , compared with 26 % of those without children under 18","A majority ( 60 % ) of women ages 65 and older say a woman should have children before entering politics, while only 30 % of women ages 18 to 29 say the same. Instead, four - in - ten women ages 18 to 29 say women should wait until they ’re well established in their political careers to have children. Just one - quarter of women 65 and older say this is the best choice. Women ’s views also differ by their level of education. About four - in - ten women without a four - year college degree ( 42 % ) say a woman has the best chance of success in politics if she has children early ; 57 % of women with a bachelor ’s degree or higher say this. About one - third ( 32 % ) of less educated women, compared with 21 % of college graduates, say a woman who wants to reach high political office should wait until she is well established in her career to have children.",About two - thirds ( 64 % ) of mothers who have children under 18 say it ’s better for a woman who wants to reach high political office to have children before entering politics. Smaller shares of mothers with no college experience ( 47 % ) and 30- to 49 % ( 20 % ) say it ’s better for a woman not to have children at all to be successful.,Gold Standard,VLT5_S,VLT5
752,3748,"Most teachers give students modest ratings of good' or 'fair' when it comes to specific research skills Overall, how would you rate your students on each of the following?",What is the situation on the marks students receive for their patience in determination in looking for information that is hard to find?,dataset/images/3748.png,"Students receive the lowest marks for “ patience and determination in looking for information that is hard to find , ” with 43 % of teachers rating their students “ poor ” in this regard , and another 35 % rating their students “ fair . ”","Students receive the lowest marks for “ patience and determination in looking for information that is hard to find, ” with 43 % of teachers rating their students “ poor ” in this regard, and another 35 % rating their students “ fair. ”","Among teachers, students are most likely to give students high marks for their patience and determination in looking for information that is hard to find online, and are more likely to recognize bias and bias in the creation of content.",Gold Standard,VLT5_S,VLT5
753,281,Post-election partisan shift in views of risks of increased presidential power,What is the opinion of the partisans about increasing presidential power?,dataset/images/281.png,"The sense that increasing presidential power would be “ too risky ” has grown among Democrats since August , when Barack Obama was still president : While a 66 % majority said giving presidents greater powers would be too risky in August , nearly nine - in - ten ( 87 % ) now say this . Conversely , while 82 % of Republicans expressed concern about increasing presidential powers relative to the other branches of government in August , a smaller majority ( 65 % ) say this today .","While a 66 % majority said giving presidents greater powers would be too risky in August, nearly nine - in - ten ( 87 % ) now say this. Conversely, while 82 % of Republicans expressed concern about increasing presidential powers relative to the other branches of government in August, a smaller majority ( 65 % ) say this today.","Today, 87 % of Republicans say it would be too risky to give presidents greater power to deal directly with the nation ’s problems, compared with 65 % of Democrats.",VLT5_S,VLT5,Gold Standard
754,5394,Broad public agreement on importance of many aspects of a strong democracy % who say each is strong democracy in the United States Congress and the courts,What does the public think about the importance of news freedom to criticize politicians?,dataset/images/5394.png,A smaller majority ( 64 % ) says the freedom of news organizations to criticize political leaders is essential to maintain a strong democracy in the U.S.,"89 % say fair and open national elections are very important to maintaining a strong democracy, while 83 % say the same about a system of checks and balances dividing power between the president, Congress and the courts.","While a 79 % majority of the public says it is very important to maintain a strong democracy in the United States, just 12 % say it is somewhat important to maintain a free press and fair system for criticizing political leaders.",VLT5,Gold Standard,VLT5_S
755,6999,More privacy and reputation management on social networking sites %of social networking site users who have taken these steps on their profile 56%,Explain the rise of concern in privacy reputation management on social media?,dataset/images/6999.png,"About two - thirds of internet users use social networking sites ) and all the major metrics for profile management are up , compared to 2009 : 63 % of them have deleted people from their “ friends ” lists , up from 56 % in 2009 ; 44 % have deleted comments made by others on their profile ; and 37 % have removed their names from photos that were tagged to identify them","About two - thirds of internet users use social networking sites ( SNS ) and all the major metrics for profile management are up, compared to 2009 : 63 % of them have deleted people from their “ friends ” lists, up from 56 % in 2009 ; 44 % have deleted comments made by others on their profile ; and 37 % have removed their names from photos that were tagged to identify them.",These steps have been especially significant among social media users – from the initial screening of photos in which they were asked about their identity in 2009 to the current level of discussion – but also among those who have taken steps to protect their privacy and reputation management.,Gold Standard,VLT5,VLT5_S
756,3781,"Steps the govemment has inta ken since 9/11 have To prevent attacks like the one in Boston, there is.",What is the public opinion on the government's role in preventing terrorist attacks like the one in Boston?,dataset/images/3781.png,"49 % say there is more the government can do to prevent such attacks , but nearly as many ( 45 % ) say there is not much more that can be done .","49 % say there is more the government can do to prevent such attacks, but nearly as many ( 45 % ) say there is not much more that can be done.","Six - in - ten say that the government has not had much of an effect on preventing terrorist attacks like the one in Boston, while 45 % say there is more government involvement.",VLT5_S,VLT5,Gold Standard
757,4461,Satisfaction with National Conditi ons,Compare the national satisfaction of different nations?,dataset/images/4461.png,"More than seven - in - ten Chinese citizens ( 72 % ) express satisfaction with their national condition , while fewer than one - in - five ( 19 % ) are dissatisfied . On this score , China far outstrips India , where only 41 % say they are content with national conditions . And in China , the level of satisfaction is more than three times higher than in Russia , where only 23 % are pleased with their country ’s direction .","More than seven - in - ten Chinese citizens ( 72 % ) express satisfaction with their national condition, while fewer than one - in - five ( 19 % ) are dissatisfied.","Satisfaction is highest in Jordan ( 72 % ), the Palestinian territories ( 69 % ), Spain ( 57 % ) and the Netherlands ( 51 % ). By contrast, the Turkish public is less satisfied with the U.S. than in most other Western countries, including Turkey ( 39 % Satisfaction ), the U.S. ( 39 % ) and Canada ( 23 % ).",Gold Standard,VLT5,VLT5_S
758,280,9% of black college students were enrolled at an HBCU in 2015 degree were college enrolled university ata historically black college or university infall semester 1980 1990 2000 2010 2015 Note: Congress defines historically black colleges Congress and universities as degree- granting 1964 with the principal missionof prior,Describe the trend in black college students enrolment in HBCU since 1980.,dataset/images/280.png,"Since 1980, the share of blacks attending HBCUs began to shrink . By fall 1980 , 17 % of black students enrolled in degree - granting institutions were enrolled at an HBCU . By 2000 , that share had declined to 13 % , and it stood at 9 % in 2015 .","By fall 1980, 17 % of black students enrolled in degree - granting institutions were enrolled at an HBCU. By 2000, that share had declined to 13 %, and it stood at 9 % in 2015.","In 2015, 9 % of black college students were enrolled at a historically black college degree or higher, up from 8 % in 1980.",VLT5,VLT5_S,Gold Standard
759,1201,Majority of Americans say higher education is going in wrong direction,What do the majority of Americans say about higher education?,dataset/images/1201.png,"About six - in - ten Americans ( 61 % ) say the higher education system in the United States is going in the wrong direction , according to a new Pew Research Center survey .",About six - in - ten Americans ( 61 % ) say the higher education system in the United States is going in the wrong direction,A majority of Americans ( 61 % ) say the higher education system in the U.S. is going in the wrong direction,Gold Standard,VLT5,VLT5_S
760,7443,Bush Approval Varying in a Narrow Range,Explain the Bush's job approval ratings over time?,dataset/images/7443.png,"President Bush ’s job approval rating reached its 2004 peak , at 58 % , in early January . Since February , Bush ’s ratings have fluctuated between 43 % and 48 % . Bush ’s current standing ( 48 % approve , 43 % disapprove ) is somewhat higher than the 43 % rating he received in early April , , and his 44 % mark in May .","President Bush ’s job approval rating reached its 2004 peak, at 58 %, in early January. Since February, Bush ’s ratings have fluctuated between 43 % and 48 %. Bush ’s current standing ( 48 % approve, 43 % disapprove ) is somewhat higher than the 43 % rating he received in early April.","As recently as last month, the president ’s job approval rating was more than 50 %, but it was still well below where it was in February. Currently, 59 % of the public approves of the way he is handling his job as president, while 55 % disapprove. In January, more than half approved of his performance than disapproved ( 49 % vs. 40 % ).",VLT5_S,Gold Standard,VLT5
761,3336,It Is More Important to Have Strong Ties with,What percentage of Nigerians consider ties with China as more important in comparison to U.S.?,dataset/images/3336.png,"In Nigeria , 37 % say a strong relationship with China is more important , compared with just 17 % who say this about the U.S.","In Nigeria, 37 % say a strong relationship with China is more important, compared with just 17 % who say this about the U.S.","In Nigeria, a majority of adults say that ties with China are more important than with the U.S.",VLT5,VLT5_S,Gold Standard
762,4262,Workers use social media at work for many reasons; taking a mental break is one of the most common % of workers who sever use social media platforms to,What do Americans use social media for?,dataset/images/4262.png,17 % of workers say they use social media to build or strengthen personal relationships at work .,"As noted above, 17 % of workers say they use social media to build or strengthen personal relationships at work – but the transparency that social media facilitates comes with costs as well as benefits. Some 14 % of workers have found information on social media that has improved their professional opinion of a colleague ; at the same time, a similar share ( 16 % ) have found information on social media that has lowered their professional opinion of a colleague.","Some 34 % of Americans use social media at work for many reasons, including a mental break ( 27 % ). Some 27 % of workers use social media to connect with friends and family, while 27 % say they use social media to build or strengthen relationships with colleagues.",VLT5,Gold Standard,VLT5_S
763,4051,"Figure 2 Employment Rate, Fourth Quarters, 2007 and 2008","What changes occurred to born Hispanics , native - born Hispanics and blacks in unemployment during 2007 and 2008?",dataset/images/4051.png,"Changes in unemployment during the recession reveal a rapidly worsening situation for foreign - born Hispanics , native - born Hispanics and blacks in the labor market . The unemployment rates for these groups increased by similar amounts from the fourth quarter of 2007 to the fourth quarter of 2008 .","Changes in unemployment during the recession reveal a rapidly worsening situation for foreign - born Hispanics, native - born Hispanics and blacks in the labor market. The unemployment rates for these groups increased by similar amounts from the fourth quarter of 2007 to the fourth quarter of 2008.","Changes in employment during 2007 and 2008 include a decrease in the employment rate among foreign - born Hispanics, native - born Hispanics and blacks in the labor market. The employment rate for these groups increased from 63.7 % in the fourth quarter of 2007 to 61.4 % in the fourth quarter of 2008.",VLT5_S,VLT5,Gold Standard
764,4903,Divide emerging in how partisans see Xi Jinping,Write details about divide emerging in how partisans see Xi JinPing?,dataset/images/4903.png,"While Republicans and Democrats were equally likely to lack confidence in the Chinese leader in 2018 and 2019 , there is a now a partisan gap : Republicans are more likely than Democrats to say they have no confidence at all in Xi ( 61 % vs. 51 % ) .","While Republicans and Democrats were equally likely to lack confidence in the Chinese leader in 2018 and 2019, there is a now a partisan gap : Republicans are more likely than Democrats to say they have little or no faith in Xi ( 82 % vs. 75 % ). Republicans are also more likely to say they have no confidence at all in Xi ( 61 % vs. 51 % ).","As has been the case for much of the last 15 years, Republicans are more likely than Democrats to express confidence in the Chinese leader. More than six - in - ten Republicans ( 61 % ) say they have no confidence in him, compared with just 22 % of Democrats. The share of Republicans who say they have no confidence in the Chinese leader has fallen from 69 % in 2018 to 44 % in 2019.",VLT5_S,Gold Standard,VLT5
765,2282,"About a quarter say tax rates should be lowered on corporations, household incomes above $250,000",What are Americans opinions about tax rates on corporations?,dataset/images/2282.png,"About a quarter of U.S. adults ( 24 % ) say tax rates on corporations and large businesses should be lowered , while roughly twice as many ( 52 % ) say they should be raised . Another 21 % say corporate tax rates should be kept the same as they are now .","About a quarter of U.S. adults ( 24 % ) say tax rates on corporations and large businesses should be lowered, while roughly twice as many ( 52 % ) say they should be raised. Another 21 % say corporate tax rates should be kept the same as they are now.","About a quarter of Americans ( 24 % ) say tax rates on corporations and large businesses should be lowered, while roughly twice as many ( 52 % ) say they should be raised. Another 21 % say corporate tax rates should be kept the same as they are now.",Gold Standard,VLT5_S,VLT5
766,2199,More than a quarter of Americans have chosen to not post something online after seeing harassment of others % of USS adults who have harassing behaviors directed toward others online,What reactions have Americans had after witnessing online harassment?,dataset/images/2199.png,"Roughly one - quarter of Americans ( 27 % ) say they have chosen not to post something after witnessing online harassment , while a similar share ( 28 % ) say they adjusted their privacy settings after seeing this type of online behavior .","Roughly one - quarter of Americans ( 27 % ) say they have chosen not to post something after witnessing online harassment, while a similar share ( 28 % ) say they adjusted their privacy settings after seeing this type of online behavior. 13 % of U.S. adults have stopped using an online service altogether after seeing others being harassed","Roughly one - quarter of Americans ( 27 % ) say they have chosen not to post something after witnessing online harassment, while a similar share ( 28 % ) say they adjusted their privacy settings after seeing this type of online behavior. 13 % of U.S. adults have stopped using an online service altogether after seeing others being harassed",Gold Standard,VLT5_S,VLT5
767,6835,Student enrollment at majority-minority public schools,Describe the increase in minorities in majority-minority schools.,dataset/images/6835.png,"The share of black , Hispanic and Asian students enrolled in majority - minority schools also increased during this time — for Hispanics , from 73 % to 79 % , for example .","the share of white students enrolled in majority - minority schools has nearly doubled over the past two decades, from 8.4 % in 1990 to 15.9 % in 2010.","From 2009 to 2010, minority - minority school enrollment at majority - minority schools increased by 71 %.",VLT5_S,VLT5,Gold Standard
768,6910,News Interest vs. News Coverage News Interest Economy,How much people were concerned about the news of troops in Afghanistan?,dataset/images/6910.png,"Americans focused most closely last week on news about the nation ’s struggling economy and President Obama ’s plans to draw down U.S. troops in Afghanistan . 16 % say they followed the discussions in Washington about troop levels in Afghanistan more closely than any other top story , according to the latest weekly News Interest Index survey conducted June 23 - 26 by the Pew Research Center .","Americans focused most closely last week on news about the nation ’s struggling economy and President Obama ’s plans to draw down U.S. troops in Afghanistan Two - in - ten ( 20 % ) say the economy was their top story, while 16 % say they followed the discussions in Washington about troop levels in Afghanistan more closely than any other top story, according to the latest weekly News Interest Index survey conducted June 23 - 26 by the Pew Research Center.","Just 14 % say they followed news about the troops in Afghanistan very closely, and 16 % say they followed news about the troops most closely.",VLT5_S,VLT5,Gold Standard
769,6313,Public's Views of Global Threats Facing the U.S. % saying each isa,How worried is the public about the infectious diseases?,dataset/images/6313.png,Roughly half ( 52 % ) believe the spread of infectious diseases between countries is a major threat and four - in - ten ( 40 % ) label it a minor threat .,roughly half ( 52 % ) believe the spread of infectious diseases between countries is a major threat and four - in - ten ( 40 % ) label it a minor threat.,about seven - in - ten Americans ( 71 % ) say infectious diseases are a major threat to the United States.,VLT5_S,VLT5,Gold Standard
770,4651,"Figure 1 Estimates of the U.S. Unauthorized Immigrant Population, 1990-2012 in millions",Describe trend in U.S. Unauthorized Immigrant Population during 1990-2012?,dataset/images/4651.png,"As of March 2012 , 11.7 million unauthorized immigrants were living in the United States , according to preliminary Pew Research Center estimate based on U.S. government data . The estimated number of unauthorized immigrants peaked at 12.2 million in 2007 and fell to 11.3 million in 2009 , breaking a rising trend that had held for decades .","The estimated number of unauthorized immigrants peaked at 12.2 million in 2007 and fell to 11.3 million in 2009, breaking a rising trend that had held for decades.",The U.S. unauthorized immigrant population reached a record 12.2 million in 2012.,Gold Standard,VLT5,VLT5_S
771,281,Post-election partisan shift in views of risks of increased presidential power,What is the opinion of the partisans about increasing presidential power?,dataset/images/281.png,"The sense that increasing presidential power would be “ too risky ” has grown among Democrats since August , when Barack Obama was still president : While a 66 % majority said giving presidents greater powers would be too risky in August , nearly nine - in - ten ( 87 % ) now say this . Conversely , while 82 % of Republicans expressed concern about increasing presidential powers relative to the other branches of government in August , a smaller majority ( 65 % ) say this today .","While a 66 % majority said giving presidents greater powers would be too risky in August, nearly nine - in - ten ( 87 % ) now say this. Conversely, while 82 % of Republicans expressed concern about increasing presidential powers relative to the other branches of government in August, a smaller majority ( 65 % ) say this today.","Today, 87 % of Republicans say it would be too risky to give presidents greater power to deal directly with the nation ’s problems, compared with 65 % of Democrats.",Gold Standard,VLT5_S,VLT5
772,3165,US young people have higher unemployment,What is the range of unemployment among teenagers or young adults ?,dataset/images/3165.png,more than half ( 50.9 % ) of the nation ’s nearly 8 million unemployed people are between the ages of 16 and 34 – even though that group makes up just over a third of the civilian labor force .,more than half ( 50.9 % ) of the nation ’s unemployed people are between the ages of 16 and 34.,"Overall, among those ages 16 to 19, 15.6 % unemployment rate, compared with 5.4 % among 20 to 24 - year - olds.",VLT5,Gold Standard,VLT5_S
773,7286,News Coverage vs News Interest Health care reform 66,Comment on the top news headlines based on the attention they gathered from public?,dataset/images/7286.png,Two - thirds of Americans ( 66 % ) say they followed the health care debate more closely than any other major news story .,The long - running debate over health care reform continued to dominate public attention and media coverage last week as the final skirmishes played out on Capitol Hill and President Obama set out to promote the newly - enacted law. Two - thirds of Americans ( 66 % ) say they followed the health care debate more closely than any other major news story last week. Another 5 % say they followed news about vandalism and threats directed at Democrats who voted for the legislation most closely.,Americans say they followed news about health care reform more closely than any other story last week. More than two - thirds of the public ( 66 % ) says they followed reports about the Vandalismith scandal more closely than any other story.,VLT5,VLT5_S,Gold Standard
774,5795,What would a future with radical life extension look like? % of U.S adults who agree/ disagree with each statement Everybody should be able,What are Americans opinions regarding who should be able to receive radical life extension treatments?,dataset/images/5795.png,"Two - thirds of those polled about radical life extension thought the option would only be available to the wealthy At least as many in the human enhancement survey shared this concern , saying that moving forward with the three emerging technologies outlined in the survey – brain implants , synthetic blood and gene editing for babies – would increase inequality because they would only be available to those who are well - off .",Two - thirds of those polled about radical life extension thought the option would only be available to the wealthy Two - thirds of American adults also said scientists would offer life extension technologies before their impact was fully understood.,"Some 79 % of Americans agree with the statement “ everybody should be able to get radical life extension treatments, ” while about two - thirds ( 66 % ) disagree with each statement",VLT5,Gold Standard,VLT5_S
775,3968,Neg ative Characteristics Associated with Muslims (Non-Mus lim Respondents) Positive Characteristics Ass ociated with Muslims,What are opinions about the negative and positive characteristics associated with Muslims?,dataset/images/3968.png,"The results show that many non - Muslims associate negative traits with Muslims . Majorities in Nigeria , India , Spain , Russia , and Germany see Muslims as violent . Large numbers , including majorities in India , Nigeria , and Russia , also consider Muslims arrogant . Many also associate selfishness with Muslims , although India is the only country where a majority does so . Non - Muslims are less likely to rate Muslims as greedy or immoral — in France for instance , only 10 % say Muslims are greedy and just 18 % label Muslims as immoral . The data on Muslim attitudes towards Westerners also reveal a variety of negative views . In the five majority Muslim countries , as well as Nigeria , at least 40 % of Muslims characterize Westerners as arrogant , violent , greedy , and immoral ; meanwhile , relatively few say Westerners are generous or honest . Muslims in these countries are also especially likely to say Westerners are selfish — in all six countries , majorities suggest selfishness is common among people in Europe and the United States . Negative assessments of Westerners are fairly common across all six of these countries , although they are slightly more prevalent in Jordan and Indonesia .","The results show that many non - Muslims associate negative traits with Muslims. Majorities in Nigeria, India, Spain, Russia, and Germany see Muslims as violent. Large numbers, including majorities in India, Nigeria, and Russia, also consider Muslims arrogant. Many also associate selfishness with Muslims, although India is the only country where a majority does so. Non - Muslims are less likely to rate Muslims as greedy or immoral — in France for instance, only 10 % say Muslims are greedy and just 18 % label Muslims as immoral. The data on Muslim attitudes towards Westerners also reveal a variety of negative views. In the five majority Muslim countries, as well as Nigeria, at least 40 % of Muslims characterize Westerners as arrogant, violent, greedy, and immoral ; meanwhile, relatively few say Westerners are generous or honest.","Only, in neighboring France and the U.S. do a better job of expressing positive characteristics than did so four - in - ten Americans ( 28 % ) and Germans ( 13 % ), as do roughly half or more in Spain ( 21 % ) and about a quarter ( 27 % ) in the U.S.",VLT5_S,Gold Standard,VLT5
776,4484,"Broadband use at home has risen fairly consistently since the Pew Internet Project began to measure it in 2000, but growth rate has slowed somewhat in the general population.",Describe what has happened in the use of broadband internet since 2000?,dataset/images/4484.png,"Broadband use at home has risen fairly consistently since the Pew Internet Project began to measure it in 2000 , but growth rate has slowed somewhat in the general population .","Broadband use at home has risen fairly consistently since the Pew Internet Project began to measure it in 2000, but growth rate has slowed somewhat in the general population.",The rate of broadband adoption at home has been fairly steady since the Pew Internet Project began measuring it in 2000.,VLT5_S,VLT5,Gold Standard
777,6273,Higher Obama's 2nd Term Approval George W. Rating Runs Higher than that of George W. Rating Bush,Compare Obama's and Bush's second term job ratings.,dataset/images/6273.png,"President Barack Obama ’s overall approval rating has held steady at 44 % . While Obama ’s job rating has been below 50 % for the past year , it stands eight points higher than that of his predecessor , Bush , at a comparable point eight years ago . In July 2006 , 36 % approved of Bush ’s job performance .","President Barack Obama ’s overall approval rating has held steady at 44 %. While Obama ’s job rating has been below 50 % for the past year, it stands eight points higher than that of his predecessor, George W. Bush, at a comparable point eight years ago. In July 2006, 36 % approved of Bush ’s job performance.",Obama ’s approval rating of 36 % is higher than that of George W. Bush.,VLT5,VLT5_S,Gold Standard
778,5311,"Since 2001, decline in the share saying legal immigration should be decreased % should who say be that legal immigration into the United States",What is the percentage of Americans who favor increased legal immigration to the U.S. versus those who favor a decrease?,dataset/images/5311.png,"Since 2001 , the share of Americans who favor increased legal immigration into the U.S. has risen 22 percentage points ( from 10 % to 32 % ) , while the share who support a decrease has declined 29 points ( from 53 % to 24 % ) .","Since 2001, the share of Americans who favor increased legal immigration into the U.S. has risen 22 percentage points ( from 10 % to 32 % ), while the share who support a decrease has declined 29 points ( from 53 % to 24 % ).","The share of Americans who favor increased legal immigration into the United States has fallen, from 44 % to 29 %. People who support decreased legal immigration have also been more likely to say it should be decreased.",Gold Standard,VLT5,VLT5_S
779,1532,About six-in-ten women say the country hasn't gone far enough when it comes to gender equality % saying the country when it comes to giving women equalrights with mmen,Compare partisans difference of opinion about the effort to have gender equality.,dataset/images/1532.png,"About three - quarters ( 74 % ) of women who are Democrats or Democratic - leaning independents say the country has n’t gone far enough on gender equality , compared with just a third ( 33 % ) of women who are Republican or Republican leaners . Among Democrats , women with a college degree are more likely than less - educated women to say the country has n’t gone far enough on gender equality","About six - in - ten women ( 57 % ) hold this view, compared with 42 % of men. But there are sharp differences by political affiliation and – among Democrats – education. About three - quarters ( 74 % ) of women who are Democrats or Democratic - leaning independents say the country has n’t gone far enough on gender equality, compared with just a third ( 33 % ) of women who are Republican or Republican leaners. Among Democrats, women with a college degree are more likely than less - educated women to say the country has n’t gone far enough on gender equality.","Democrats and Democratic leaners are more likely than Republicans and Republican leaners to say the country has n’t gone far enough when it comes to gender equality. A majority of U.S. adults ( 57 % ) say the country has n’t gone far enough, compared with just 26 % of Democrats and Democratic leaners.",VLT5_S,VLT5,Gold Standard
780,6036,Favorability Toward Congress Little Changed % who have view of Congress,Describe the change in favorability towards Congress.,dataset/images/6036.png,Views of Congress continue to hover near record lows : Just 25 % of Americans view Congress favorably .,"Views of Congress continue to hover near record lows : Just 25 % of Americans view Congress favorably, while 69 % say they have an unfavorable opinion.","Just 25 % express a favorable opinion of Congress, while 69 % view it unfavorably. But since April 2014, the share of Americans with a positive view of Congress has fallen off to just 25 %.",Gold Standard,VLT5_S,VLT5
781,4545,Nostalgia for,How do Russians feel about the Soviet Union?,dataset/images/4545.png,Half of Russians agree with the statement “ it is a great misfortune that the Soviet Union no longer exists ; ” 36 % disagree .,Half of Russians also agree with the statement “ it is a great misfortune that the Soviet Union no longer exists ; ” 36 % disagree.,Half ( 50 % ) agree that the Soviet Union is no longer exists.,VLT5_S,Gold Standard,VLT5
782,4651,"Figure 1 Estimates of the U.S. Unauthorized Immigrant Population, 1990-2012 in millions",Describe trend in U.S. Unauthorized Immigrant Population during 1990-2012?,dataset/images/4651.png,"As of March 2012 , 11.7 million unauthorized immigrants were living in the United States , according to preliminary Pew Research Center estimate based on U.S. government data . The estimated number of unauthorized immigrants peaked at 12.2 million in 2007 and fell to 11.3 million in 2009 , breaking a rising trend that had held for decades .","The estimated number of unauthorized immigrants peaked at 12.2 million in 2007 and fell to 11.3 million in 2009, breaking a rising trend that had held for decades.",The U.S. unauthorized immigrant population reached a record 12.2 million in 2012.,VLT5,Gold Standard,VLT5_S
783,7480,Hig hest Economic Pessimism ofBush s Tenure,What is the public's expectation about the economy?,dataset/images/7480.png,"By two - to - one ( 37%-18 % ) , more believe the economy will be in worse shape a year from now than believe things will improve . In August 2004 , just 9 % said they expected the economy to worsen over the succeeding 12 months . That number doubled to 18 % in January , and has doubled again ( to 37 % ) .","By two - to - one ( 37%-18 % ), more believe the economy will be in worse shape a year from now than believe things will improve. In August 2004, just 9 % said they expected the economy to worsen over the succeeding 12 months. That number doubled to 18 % in January, and has doubled again ( to 37 % ).","One - in - five Americans ( 18 % ) say they expect the economy to improve a year from now, while the same percentage ( 7 % ) says it will be worse.",VLT5_S,VLT5,Gold Standard
784,199,Estimating the Size of the Multiracial Population,Describe the proportion of the adult population who has a mixed background.,dataset/images/199.png,we estimate that only about 6.9 % of the adult population has a mixed - race background .,"As you note, we estimate that only about 6.9 % of the adult population has a mixed - race background.",The vast majority of adults – 2.9 % – who have a mixed background can be counted as multiracial,Gold Standard,VLT5,VLT5_S
