number,id,title,question,img,Gold Standard,BART,T5,Summary 1,Summary 2
322,4427,Per cent C Citing Drugs As Most Impor tant National Problem 40%,What were the views on drugs in 1990?,dataset/images/4427.png,Concern over drugs reached a peak in 1990 when 37 % of the public cited it as the top national problem .,Concern over drugs reached a peak in 1990 when 37 % of the public cited it as the top national problem.,Concern over drugs reached a peak in 1990 when 37 % of the public cited it as the top national problem.,Gold Standard,BART
323,5696,Support for same-sex marriage holds Support steady starter 2015 Supreme Court ruling % who allowing gays and lesbians to marry legally,What is the trend among Americans about supporting same-sex marriages since 2006 ?,dataset/images/5696.png,"Now , just over half of Americans ( 55 % ) say they favor allowing gays and lesbians to marry legally , while 37 % remain opposed , according to Pew Research Center ’s March poll . A decade ago , the balance of opinion was reversed : 55 % were opposed , while 35 % were in favor .","Just over half of Americans ( 55 % ) say they favor allowing gays and lesbians to marry legally, while 37 % remain opposed.","just over half of Americans ( 55 % ) say they favor allowing gays and lesbians to marry legally, while 37 % remain opposed, according to Pew Research Center ’s March poll. A decade ago, the balance of opinion was reversed : 55 % were opposed, while 35 % were in favor.",Gold Standard,T5
324,7445,"Variahility in Horse Race Po Ils,",How does the 2004 horse pool compare to 1984 and 1988?,dataset/images/7445.png,"The polling variability in 2004 falls close to that seen in 1984 and 1988 , when the average spread was 2.2 % and 2.3 % , respectively .","The polling variability in 2004 falls close to that seen in 1984 and 1988, when the average spread was 2.2 % and 2.3 %, respectively, and slightly above the election of 2000 ( at 1.7 % ).","The polling variability in 2004 falls close to that seen in 1984 and 1988, when the average spread was 2.2 % and 2.3 %, respectively, and slightly above the election of 2000 ( at 1.7 % ).",Gold Standard,BART
325,614,Many see U.S. as their country’s top ally,What do Americans think about Israelis as the country they can most rely on as a reliable ally in the future?,dataset/images/614.png,"In Israel , 82 % name the U.S. as the country they can most rely on as a dependable ally in the future",Nearly eight - in - ten Americans ( 82 % ) say Israel is the country they can most rely on as a reliable ally in the future,"In Israel, 82 % name the U.S. as the country they can most rely on as a dependable ally in the future",BART,T5
326,1924,"Most Republicans say it is possible to cut envi ronmental regulations and still protect air and water quality % of USS adults who say it is possible, /not possible to cut back on entroumentalregulations and still effectively",what percentage margin of Republican and Republican leaners hold that it is possible to cut back on environmental regulations and still effectively protect air and water quality?,dataset/images/1924.png,"By a 63%-35 % margin , most Republicans and Republican leaners hold that it is possible to cut back on environmental regulations and still effectively protect air and water quality in the U.S.","By a 63%-35 % margin, most Republicans and Republican leaners hold that it is possible to cut back on environmental regulations and still effectively protect air and water quality in the U.S.","By a 63%-35 % margin, most Republicans and Republican leaners hold that it is possible to cut back on environmental regulations and still effectively protect air and water quality in the U.S.",T5,BART
327,623,a large minority majority of tweets come from a small large minority majority of tweeters Share ofall tweets from U.S. adult users created by,What is the distribution of the adult twitter users in the US?,dataset/images/623.png,The most active 10 % of adult Twitter users in the U.S. produce 80 % of all tweets sent by these users,The most active 10 % of adult Twitter users in the U.S. produce 80 % of all tweets sent by these users.,The most active 10 % of adult Twitter users in the U.S. produce 80 % of all tweets sent by these users.,Gold Standard,BART
328,5028,Average Monthly Increase in Mexican- --oorn Population That Entered the U.S in 1990 for Later. 2004 to 2007,Describe the trend in Mexican born population entering US?,dataset/images/5028.png,The trend line slopes up more steeply in 2004 and 2005 than in 2006 . It shows a broad trend of increasing growth from the last quarter of 2004 through the second quarter of 2006 and a flattening of the growth rate since then .,Applying this technique to monthly data and quarterly population averages as well as to three - month rolling averages produces similar results : The trend line slopes up more steeply in 2004 and 2005 than in 2006.1 It shows a broad trend of increasing growth from the last quarter of 2004 through the second quarter of 2006 and a flattening of the growth rate since then.,Applying this technique to monthly data and quarterly population averages as well as to three - month rolling averages produces similar results : The trend line slopes up more steeply in 2004 and 2005 than in 2006.,T5,Gold Standard
329,797,Majority of U.S. poll workers are over 60,How is the trend of poll workers in 2018?,dataset/images/797.png,"around six - in - ten U.S. poll workers ( 58 % ) were ages 61 and older , including roughly a quarter ( 27 % ) who were over 70","In the 2018 general election, around six - in - ten U.S. poll workers ( 58 % ) were ages 61 and older.","In the 2018 general election, around six - in - ten U.S. poll workers ( 58 % ) were ages 61 and older, including roughly a quarter ( 27 % ) who were over 70",Gold Standard,T5
330,4262,Workers use social media at work for many reasons; taking a mental break is one of the most common % of workers who sever use social media platforms to,What do Americans use social media for?,dataset/images/4262.png,17 % of workers say they use social media to build or strengthen personal relationships at work .,17 % of workers say they use social media to build or strengthen personal relationships at work.,17 % of workers say they use social media to build or strengthen personal relationships at work – but the transparency that social media facilitates comes with costs as well as benefits.,BART,T5
331,2904,One-in-five Americans have heard of the debate over the legality of home-sharing services and both users and nonusers strongly support the legality of these services; they also feel (if less strongly) that homeowners using these services should not have to pay taxes in order to use them,Discuss what home-sharing users have heard about its legality?,dataset/images/2904.png,"home - sharing services has been the subject of much debate in cities around the country . Just 19 % of home - sharing users have heard “ a lot ” about it , while 37 % have heard “ a little . ”","One - in - five home - sharing users say they have heard of the debate over the legality of home -sharing services, compared with just 6 % of those who have heard about the debate.","22 % of Americans have heard something about this issue, with just 6 % indicating that they have heard “ a lot ” about it.",T5,BART
332,4651,"Figure 1 Estimates of the U.S. Unauthorized Immigrant Population, 1990-2012 in millions",Describe trend in U.S. Unauthorized Immigrant Population during 1990-2012?,dataset/images/4651.png,"As of March 2012 , 11.7 million unauthorized immigrants were living in the United States , according to preliminary Pew Research Center estimate based on U.S. government data . The estimated number of unauthorized immigrants peaked at 12.2 million in 2007 and fell to 11.3 million in 2009 , breaking a rising trend that had held for decades .","As of March 2012, 11.7 million unauthorized immigrants were living in the United States, according to a new preliminary Pew Research Center estimate based on U.S. government data. The estimated number of unauthorized immigrants peaked at 12.2 million in 2007 and fell to 11.3 million in 2009, breaking a rising trend that had held for decades.","As of March 2012, 11.7 million unauthorized immigrants were living in the United States, according to a preliminary Pew Research Center estimate based on U.S. government data. The estimated number of unauthorized immigrants peaked at 12.2 million in 2007 and fell to 11.3 million in 2009, breaking a rising trend that had held for decades.",Gold Standard,T5
333,5930,Democrats now about as likely to sympathize with Palestinians as Israel side do you sympathize with more? (%) Democrats,Tell some information about Democrats now about as likely to sympathize with Palestinians as Israel side do you sympathize with more?,dataset/images/5930.png,"For the first time in Pew Research Center surveys , Democrats are about as likely to say they sympathize more with the Palestinians ( 31 % ) than with Israel ( 33 % ) ; 11 % say they sympathize with neither , while 8 % sympathize with both and 17 % do not offer an opinion . The share of Democrats who say they sympathize more with Israel is down 10 points from April 2016 . The share who say they sympathize more with the Palestinians is little changed from last April ( 29 % ) , but is up significantly from July 2014 when just 17 % said they sympathized more with the Palestinians . By contrast , Republicans continue to overwhelmingly say they sympathize more with Israel ( 74 % ) than the Palestinians ( 11 % ) . There has been little movement in views among Republicans in recent years , but the share who say they sympathize more with Israel is now higher than in the mid-2000s and prior . For example , in 2005 , 57 % of Republicans said they sympathized more with Israel in their dispute with the Palestinians . As a result of these trends , there is now a 41 - point gap between the shares of Republicans ( 74 % ) and Democrats ( 33 % ) who say they sympathize more with Israel .","For the first time in Pew Research Center surveys, Democrats are about as likely to say they sympathize more with the Palestinians ( 31 % ) than with Israel ( 33 % )","For the first time in Pew Research Center surveys, Democrats are about as likely to say they sympathize more with the Palestinians ( 31 % ) than with Israel ( 33 % ). The share of Democrats who say they empathize more With Israel is down 10 points from April 2016.",Gold Standard,T5
334,592,"In the U.S. and much of Europe, negative views of Iran are most common",What is the opinion of U.S. and Europe about Iran and China ?,dataset/images/592.png,"A 14 - country median of 71 % said they disliked Iran , making critical views of it more common than unfavorable opinions of the U.S. and about as common as negative assessments of China In five of the 14 nations surveyed , Iran is the least popular country among those asked about , and in Germany it is tied with China for last place","Iran received some of the lowest marks among the countries surveyed, with a median of 83 % saying they have an unfavorable view of Iran.","Iran received some of the lowest marks among the countries asked about in this year ’s survey. A 14 - country median of 71 % said they disliked Iran, making critical views of it more common than unfavorable opinions of the U.S. and about as common as negative assessments of China.",T5,Gold Standard
335,1823,"Most U.S. Muslims say Trump is unfriendly toward Muslim Americans % of U.S Muslims who say the president is 'U.S Mus slims Conce rned About Their Place in Society, but Continue to Believe in",How did Muslim Americans feel during the Trump government?,dataset/images/1823.png,"About three - quarters of Muslim Americans ( 74 % ) say President Donald Trump is unfriendly toward them . Just 19 % say they approve of the job Trump is doing as president , and among Muslims who reported voting last November , only 8 % say they cast their ballots for him","About three - quarters of Muslim Americans ( 74 % ) say President Donald Trump is unfriendly toward them, according to a new Pew Research Center survey.","About three - quarters of Muslim Americans ( 74 % ) say President Donald Trump is unfriendly toward them, according to a new Pew Research Center survey.",Gold Standard,BART
336,968,"Majorities of blacks say they've faced discrimination, but those with college experience are more likely to say this",Describe views of American Jews on Trump favoring Israelis?,dataset/images/968.png,"Roughly eight - in - ten blacks with at least some college experience ( 81 % ) say they 've experienced racial discrimination , at least from time to time , including 17 % who say this happens regularly","A majority of black adults say they have been discriminated against because of their race, but this varies by education. Roughly eight - in - ten blacks with at least some college experience ( 81 % ) say they ’ve experienced racial discrimination, at least from time to time, including 17 % who say this happens regularly","A majority of black adults say they have been discriminated against because of their race, but this varies by education. Roughly eight - in - ten blacks with at least some college experience ( 81 % ) say they ’ve experienced racial discrimination, at least from time to time, including 17 % who say this happens regularly",Gold Standard,T5
337,3096,More Approve of U.S. Campaign Against Islamic Militants in Iraq and Syria…And Public Is Now Divided Over Possible Use of Ground Troops,How public supports U.S. fight against ISIS ?,dataset/images/3096.png,"The public has grown more supportive of the U.S. fight against ISIS , as about twice as many approve ( 63 % ) as disapprove ( 30 % ) of the military campaign against the Islamic militant group in Iraq and Syria . Last October , 57 % approved and 33 % disapproved","The public has grown more supportive of the U.S. fight against ISIS, as about twice as many approve ( 63 % ) as disapprove ( 30 % ) of the military campaign against the Islamic militant group in Iraq and Syria. Last October, 57 % approved and 33 % disapproved.","The public has grown more supportive of the U.S. fight against ISIS, as about twice as many approve ( 63 % ) as disapprove ( 30 % ) of the military campaign against the Islamic militant group in Iraq and Syria.",T5,BART
338,7336,No Improvement in Public Perceptions of Economic News,What opinions are people hearing about the economy?,dataset/images/7336.png,"Currently , 55%say they are hearing a mix of good and bad news about t he economy , while 38 % say the economic news they are hearing is mostly bad and just 4 % say they are hearing mostly good news about the economy .","Currently, 55%say they are hearing a mix of good and bad news about t he economy.","Currently, 55%say they are hearing a mix of good and bad news about t he economy.",Gold Standard,T5
339,6273,Higher Obama's 2nd Term Approval George W. Rating Runs Higher than that of George W. Rating Bush,Compare Obama's and Bush's second term job ratings.,dataset/images/6273.png,"President Barack Obama ’s overall approval rating has held steady at 44 % . While Obama ’s job rating has been below 50 % for the past year , it stands eight points higher than that of his predecessor , Bush , at a comparable point eight years ago . In July 2006 , 36 % approved of Bush ’s job performance .","A new Pew Research Center survey finds that President Barack Obama ’s overall approval rating has held steady at 44 %, even as he receives low marks for his handling of the surge of undocumented child immigrants at the U.S. border.",A new Pew Research Center survey finds that President Barack Obama ’s overall approval rating has held steady at 44 %.,Gold Standard,BART
340,705,Half of Americans think made-up news and information is a critical problem for the country,What opinion do American adults have about the invented news and information in the country?,dataset/images/705.png,", 50 % of U.S. adults said made - up news and information was a very big problem in the country today","In an early 2019 survey, 50 % of U.S. adults said made - up news and information was a very big problem in the country today – a larger share than said the same about issues including racism, illegal immigration, terrorism and sexism","In an early 2019 survey, 50 % of U.S. adults said made - up news and information was a very big problem in the country today – a larger share than said the same about issues including racism, illegal immigration, terrorism and sexism",T5,BART
341,4903,Divide emerging in how partisans see Xi Jinping,Write details about divide emerging in how partisans see Xi JinPing?,dataset/images/4903.png,"While Republicans and Democrats were equally likely to lack confidence in the Chinese leader in 2018 and 2019 , there is a now a partisan gap : Republicans are more likely than Democrats to say they have no confidence at all in Xi ( 61 % vs. 51 % ) .","Overall, around three - quarters of Americans ( 77 % ) have little or no confidence in President Xi to do the right thing in world affairs, including 55 % who have no confidence at all in the Chinese leader","Republicans and Democrats were equally likely to lack confidence in the Chinese leader in 2018 and 2019, there is a now a partisan gap : Republicans are more likely than Democrats to say they have little or no faith in Xi ( 82 % vs. 75 % ).",T5,Gold Standard
342,3246,Median Age of The Daily Show Viewers,Describe the age range which collects news from different sources ?,dataset/images/3246.png,"The median age of Web - using adults who got news from The Daily Show was 36 years last year , similar to that of its then - companion show",The Daily Show attracts a much younger news consumer than cable and network news shows. The median age of Web - using adults who got news from The Daily Show was 36 years last year,"The median age of Web - using adults who got news from The Daily Show was 36 years last year. This is much younger than for other television news shows, both on cable and broadcast networks, including the network evening news programs and cable news shows like O’Reilly, Anderson Cooper 360 and the Rachel Maddow Show.",T5,Gold Standard
343,280,9% of black college students were enrolled at an HBCU in 2015 degree were college enrolled university ata historically black college or university infall semester 1980 1990 2000 2010 2015 Note: Congress defines historically black colleges Congress and universities as degree- granting 1964 with the principal missionof prior,Describe the trend in black college students enrolment in HBCU since 1980.,dataset/images/280.png,"the share of blacks attending HBCUs began to shrink . By fall 1980 , 17 % of black students enrolled in degree - granting institutions were enrolled at an HBCU . By 2000 , that share had declined to 13 % , and it stood at 9 % in 2015 .","By fall 1980, 17 % of black students enrolled in degree - granting institutions were enrolled at an HBCU. By 2000, that share had declined to 13 %.","By fall 1980, 17 % of black students enrolled in degree - granting institutions were enrolled at an HBCU By 2000, that share had declined to 13 %, and it stood at 9 % in 2015",T5,BART
344,5382,Democrats concerned their party will not do enough to oppose Trump % of Democrats ana Democratic leaners who are more concerned that Democrats in Congress will,Write some details about Democrats concerned their party will not do enough to oppose Trump?,dataset/images/5382.png,"For their part , Democrats are far more concerned that congressional Democrats will not do enough , rather than go too far , to oppose Trump . The latest survey by Pew Research Center , conducted Feb. 7 - 12 among 1,503 adults , shows how members of both parties are coming to grips with Washington ’s changed political dynamics : Democrats want their party to challenge Trump . Nearly three - quarters of Democrats and Democratic leaners ( 72 % ) say their bigger concern is that congressional Democrats will not do enough to oppose Trump and his policies . Just 20 % say they are more concerned that Democrats in Congress will go too far opposing Trump and his policies .",Nearly three - quarters of Democrats and Democratic leaners ( 72 % ) say their bigger concern is that congressional Democrats will not do enough to oppose Trump and his policies. Just 20 % say they are more concerned that Democrats in Congress will go too far opposing Trump,Nearly three - quarters of Democrats and Democratic leaners ( 72 % ) say their bigger concern is that congressional Democrats will not do enough to oppose Trump and his policies. Just 20 % say they are more concerned that Democrats in Congress will go too far opposing Trump and its policies.,Gold Standard,BART
345,350,High favorable ratings for various groups in Jordan and Lebanon; splits arise in other nations,What is the favourable ratings of Philippines given by Christians and Muslims ?,dataset/images/350.png,"in Christian - majority Philippines , favorable views of Christians were nearly universal ( 97 % ) while just 57 % said the same of Muslims in their country .","In Jordan, where about 97 % of the population practices Islam, about nine - in - ten adults or more rated both Muslims and Christians favorably. Similar positivity appeared in Lebanon, with roughly three - quarters or more giving positive reviews to Christian, Sunni and Shiite religious groups.","In Christian - majority Philippines, favorable views of Christians were nearly universal ( 97 % ) while just 57 % said the same of Muslims in their country.",T5,BART
346,6744,"Strong Bush Approval among Conservative Republicans, 2001-05 % of conservative Republicans who approve *very strong ly') *not so strongly",Describe Bush's approval among conservative Republicans.,dataset/images/6744.png,"In 2005 , 82 % of conservative Republicans approved of Bush while 65 % said they strongly approved .","In December 2005, 82 % of conservative Republicans approved of Bush while 65 % said they strongly approved.","In December 2005, 82 % of conservative Republicans approved of Bush while 65 % said they strongly approved.",Gold Standard,BART
347,3165,US young people have higher unemployment,What is the range of unemployment among teenagers or young adults ?,dataset/images/3165.png,more than half ( 50.9 % ) of the nation ’s nearly 8 million unemployed people are between the ages of 16 and 34 – even though that group makes up just over a third of the civilian labor force .,more than half ( 50.9 % ) of the nation ’s unemployed people are between the ages of 16 and 34.,more than half ( 50.9 % ) of the nation ’s unemployed people are between the ages of 16 and 34.,T5,Gold Standard
348,6910,News Interest vs. News Coverage News Interest Economy,How much people were concerned about the news of troops in Afghanistan?,dataset/images/6910.png,"Americans focused most closely last week on news about the nation ’s struggling economy and President Obama ’s plans to draw down U.S. troops in Afghanistan . 16 % say they followed the discussions in Washington about troop levels in Afghanistan more closely than any other top story , according to the latest weekly News Interest Index survey conducted June 23 - 26 by the Pew Research Center .","Two - in - ten ( 20 % ) say the economy was their top story, while 16 % say they followed the discussions in Washington about troop levels in Afghanistan more closely than any other top story.","Two - in - ten ( 20 % ) say the economy was their top story, while 16 % say they followed the discussions in Washington about troop levels in Afghanistan more closely than any other top story.",Gold Standard,BART
349,1956,"Within couples, women's earnings have increased steadily stover the decades relative to their husbands' % of couples where the Woman earns more Net 13%",How are women now earning comparing to their partners?,dataset/images/1956.png,"Today , 31 % of women who are married or cohabiting are contributing at least half of the couple ’s total earnings ( including 28 % who earn more than their husband or partner and 3 % who earn about the same amount ) .","In 1980, only 13 % of married women earned more than or about as much as their husbands. By 2000, the share had risen to 25 %.","At the same time, income dynamics among couples have shifted. In 1980, only 13 % of married women earned more than or about as much as their husbands. By 2000, the share had risen to 25 %. Today, 31 % of women who are married or cohabiting are contributing at least half of the couple ’s total earnings ( including 28 % who earn more than their husband or partner.",T5,BART
350,1028,Americans split on whether fact-checkers favor one side; most Republicans say this is the case,Describe the trend among Americans towards data-checking organizations?,dataset/images/1028.png,"Overall , Americans are split in their views of fact - checkers : Half say fact - checking efforts by news outlets and other organizations tend to deal fairly with all sides , while about the same portion ( 48 % ) say they tend to favor one side","Americans are split in their views of fact - checkers : Half say fact - checking efforts by news outlets and other organizations tend to deal fairly with all sides, while about the same portion ( 48 % ) say they tend to favor one side.","Americans are split in their views of fact - checkers : Half say fact - checking efforts by news outlets and other organizations tend to deal fairly with all sides, while about the same portion ( 48 % ) say they tend to favor one side, according to a Pew Research Center survey conducted Feb. 19 to March 4, 2019.",Gold Standard,T5
351,5865,"Three quarters of Facebook users and half of Instagram users muse each site daily Among the users of each social networking site, % who use these sites",Explain how much Instagram users access the platform.,dataset/images/5865.png,"Instagram and Twitter occupy the middle tier of social media sites in terms of the share of users who log in daily . Roughly half ( 51 % ) of Instagram users access the platform on a daily basis , with 35 % saying they do so several times a day","Facebook remains the most popular social media platform, with its users visiting the site more regularly than users of other social media sites. Roughly three - quarters ( 76 % ) of Facebook users report that they visit the site daily ( 55 % visit several times a day, and 22 % visit about once per day )","Roughly half ( 51 % ) of Instagram users access the platform on a daily basis. And 42 % of Twitter users indicate that they are daily visitors, with 23 % saying they visit more than once a day.",BART,T5
352,6000,General Support for TPP thing? Would STPP bea good thing for our country or a bad thing?,What is the opinion of people in different countries over TPP in their country?,dataset/images/6000.png,"Overall , 49 % of Americans say that TPP would be a good thing for their country , while 29 % think it would be a bad thing . However , support for this free trade agreement is much more robust in most other TPP nations surveyed . This includes two - thirds or more of Vietnamese ( 89 % good thing ) , Peruvians ( 70 % ) and Chileans ( 67 % ) . And at least half or more in Mexico ( 61 % ) , Japan ( 53 % ) , Australia ( 52 % ) and Canada ( 52 % ) also support the deal . In Malaysia , only 38 % support the agreement .","Overall, 49 % of Americans say that TPP would be a good thing for their country.","Overall, 49 % of Americans say that TPP would be a good thing for their country.",T5,BART
353,4726,National Priorities in Pakistan,Describe the problems facing Pakistanis?,dataset/images/4726.png,"When Pakistanis are asked about the top problems facing their country , rising prices , electricity shortages , a lack of job opportunities , and crime top the list . Nine - in - ten or more name these as very big problems facing their nation . Half or more of Pakistanis rate 11 of the 16 issues included on the survey as very big problems .","When Pakistanis are asked about the top problems facing their country, rising prices, electricity shortages, a lack of job opportunities, and crime top the list","When Pakistanis are asked about the top problems facing their country, rising prices, electricity shortages, a lack of job opportunities, and crime top the list.",Gold Standard,BART
354,5311,"Since 2001, decline in the share saying legal immigration should be decreased % should who say be that legal immigration into the United States",What is the percentage of Americans who favor increased legal immigration to the U.S. versus those who favor a decrease?,dataset/images/5311.png,"Since 2001 , the share of Americans who favor increased legal immigration into the U.S. has risen 22 percentage points ( from 10 % to 32 % ) , while the share who support a decrease has declined 29 points ( from 53 % to 24 % ) .","Since 2001, the share of Americans who favor increased legal immigration into the U.S. has risen 22 percentage points ( from 10 % to 32 % ), while the share who support a decrease has declined 29 points.","Since 2001, the share of Americans who favor increased legal immigration into the U.S. has risen 22 percentage points, while the share who support a decrease has declined 29 points ( from 53 % to 24 % ).",BART,Gold Standard
355,7236,"No Change in Overall U.S Image, But Obama Is More Popular",How is the difference among Turkey's perception about U.S former Presidents?,dataset/images/7236.png,"While just one - third of Turks have confidence that President Obama will do the right thing in world affairs , this is a significant increase from 2008 , when only 2 % voiced confidence in then - President Bush .","While just one - third of Turks have confidence that President Obama will do the right thing in world affairs, this is a significant increase from 2008, when only 2 % voiced confidence in then - President Bush.","While just one - third of Turks have confidence that President Obama will do the right thing in world affairs, this is a significant increase from 2008, when only 2 % voiced confidence in then - President Bush.",Gold Standard,BART
356,350,High favorable ratings for various groups in Jordan and Lebanon; splits arise in other nations,What is the favourable ratings of Philippines given by Christians and Muslims ?,dataset/images/350.png,"in Christian - majority Philippines , favorable views of Christians were nearly universal ( 97 % ) while just 57 % said the same of Muslims in their country .","In Jordan, where about 97 % of the population practices Islam, about nine - in - ten adults or more rated both Muslims and Christians favorably. Similar positivity appeared in Lebanon, with roughly three - quarters or more giving positive reviews to Christian, Sunni and Shiite religious groups.","In Christian - majority Philippines, favorable views of Christians were nearly universal ( 97 % ) while just 57 % said the same of Muslims in their country.",Gold Standard,BART
357,6399,Just 49% Expect a Better Year Ahead 2015 will be better or worse than 2014? (%),Describe the overall public optimism.,dataset/images/6399.png,"it has muted expectations for the year to come : 49 % say they think 2015 will be a better year than 2014 , while 42 % think it will be worse .","49 % say they think 2015 will be a better year than 2014, while 42 % think it will be worse.","49 % say they think 2015 will be a better year than 2014, while 42 % think it will be worse.",BART,Gold Standard
358,4863,Majority of Americans say stricter environmental laws are 'worth the cost % ofU.S adults who say,Describe the opinion of Americans in 2019 on the costs of environmental regulations?,dataset/images/4863.png,"A 63 % majority of Americans say stricter environmental regulations are worth the cost . When asked to choose , most Americans say stricter environmental regulations are worthwhile , while 30 % think such laws and regulations cost too many jobs and hurt the economy .","As of early 2019, 81 % of Democrats ( and independents who lean to the Democratic Party ) had a positive view of stricter environmental regulations.",A 63 % majority of Americans say stricter environmental regulations are worth the cost.,BART,Gold Standard
359,1731,"Swedes score lowest on scale of nationalist, anti-immigrant, anti-religious minority attitudes (NIM); Italians the highest","Describe the rates of nationalis, anti-immigrant and anti-religious attitudes rates in different European countries .",dataset/images/1731.png,"In Sweden , just 8 % of those surveyed scored higher than 5 , the lowest amount in any country , while in Italy , 38 % did , the highest share in any country . In most countries , the share scoring 5.01 or higher was between 15 % and 25 % . For example , in both Norway and France , 19 % of respondents scored 5.01 or higher .","Relatively few adults in every country surveyed score above 5 on the scale. But there is considerable variation across countries. In Sweden, just 8 % of those surveyed scored higher than 5, the lowest amount in any country","relatively few adults in every country surveyed score above 5 on the scale. But there is considerable variation across countries. In Sweden, just 8 % of those surveyed scored higher than 5, the lowest amount in any country, while in Italy, 38 % did, the highest share in all country. In most countries, the share scoring 5.01 or higher was between 15 % and 25 %.",Gold Standard,T5
360,5795,What would a future with radical life extension look like? % of U.S adults who agree/ disagree with each statement Everybody should be able,What are Americans opinions regarding who should be able to receive radical life extension treatments?,dataset/images/5795.png,"Two - thirds of those polled about radical life extension thought the option would only be available to the wealthy At least as many in the human enhancement survey shared this concern , saying that moving forward with the three emerging technologies outlined in the survey – brain implants , synthetic blood and gene editing for babies – would increase inequality because they would only be available to those who are well - off .",Two - thirds of American adults also said scientists would offer life extension technologies before their impact was fully understood.,Two - thirds of those polled about radical life extension thought the option would only be available to the wealthy.,T5,Gold Standard
361,1967,Americans think individuals and public schools should have the most responsibility to make sure workers have the right skills % saying these groups should have rightskills responsibility and education in making be successful sure that the 's economy,What do adults say about the public K-12 education system?,dataset/images/1967.png,Six - in - ten adults say the public K-12 education system has a lot of responsibility in making sure the U.S. workforce has the right skills and education to be successful in today ’s economy .,Six - in - ten adults say the public K-12 education system has a lot of responsibility in making sure the U.S. workforce has the right skills and education to be successful in today ’s economy,Six - in - ten adults say the public K-12 education system has a lot of responsibility in making sure the U.S. workforce has the right skills and education to be successful in today ’s economy,Gold Standard,BART
362,281,Post-election partisan shift in views of risks of increased presidential power,What is the opinion of the partisans about increasing presidential power?,dataset/images/281.png,"The sense that increasing presidential power would be “ too risky ” has grown among Democrats since August , when Barack Obama was still president : While a 66 % majority said giving presidents greater powers would be too risky in August , nearly nine - in - ten ( 87 % ) now say this . Conversely , while 82 % of Republicans expressed concern about increasing presidential powers relative to the other branches of government in August , a smaller majority ( 65 % ) say this today .","The sense that increasing presidential power would be “ too risky ” has grown among Democrats since August, when Barack Obama was still president : While a 66 % majority said giving presidents greater powers would be too risky in August, nearly nine - in - ten ( 87 % ) now say this","The sense that increasing presidential power would be “ too risky ” has grown among Democrats since August, when Barack Obama was still president : While a 66 % majority said giving presidents greater powers would be too risky in August, nearly nine - in - ten ( 87 % ) now say this. Conversely, while 82 % of Republicans expressed concern about increasing presidential powers relative to the other branches of government, a smaller majority ( 65 % ) say this today",Gold Standard,T5
363,94,Is Monitoring Allied Leaders’ Phones Acceptable?,What is the Americans' view on monitoring the phones of allied leaders?,dataset/images/94.png,"a 56 % majority of Americans say it is unacceptable for the U.S. to monitor the phones of allied leaders , while 36 % say the practice is acceptable .","56 % majority of Americans say it is unacceptable for the U.S. to monitor the phones of allied leaders, while 36 % say the practice is acceptable.","a 56 % majority of Americans say it is unacceptable for the U.S. to monitor the phones of allied leaders, while 36 % say the practice is acceptable",Gold Standard,T5
364,6313,Public's Views of Global Threats Facing the U.S. % saying each isa,How worried is the public about the infectious diseases?,dataset/images/6313.png,roughly half ( 52 % ) believe the spread of infectious diseases between countries is a major threat and four - in - ten ( 40 % ) label it a minor threat .,two - thirds of the public ( 67 % ) cite ISIS as a major threat to the U.S. About two - in - ten ( 21 % ) name the Islamic militant group as a “ minor threat ” and just 5 % say it is not a threat.,two - thirds of the public ( 67 % ) cite ISIS as a major threat to the U.S. About two - in - ten ( 21 % ) name the Islamic militant group in Iraq and Syria as a “ minor threat ” and just 5 % say it is not a threat.,Gold Standard,T5
365,756,Germans more likely to see the U.S. as an important partner than Americans are to see Germany as one,What opinion do Americans have about the second most important foreign policy partner?,dataset/images/756.png,"Among Americans , 36 % choose the United Kingdom as the most or second - most important foreign policy partner","Among Americans, 36 % choose the United Kingdom as the most important foreign policy partner. Roughly two - in - ten say China ( 23 % ) and Canada ( 20 % ) are top partners.","Among Americans, 36 % choose the United Kingdom as the most or second - most important foreign policy partner. Roughly two - in - ten say China ( 23 % ) and Canada ( 20 % ) are top partners, but Germany is chosen by only 13 %.",Gold Standard,T5
366,2282,"About a quarter say tax rates should be lowered on corporations, household incomes above $250,000",What are Americans opinions about tax rates on corporations?,dataset/images/2282.png,"About a quarter of U.S. adults ( 24 % ) say tax rates on corporations and large businesses should be lowered , while roughly twice as many ( 52 % ) say they should be raised . Another 21 % say corporate tax rates should be kept the same as they are now .",About a quarter of U.S. adults ( 24 % ) say tax rates on corporations and large businesses should be lowered. Another 21 % say corporate tax rates should be kept the same as they are now.,About a quarter of U.S. adults ( 24 % ) say tax rates on corporations and large businesses should be lowered. Another 21 % say corporate tax rates should be kept the same as they are now.,Gold Standard,T5
